scenario,n,param,before_mean_s,before_std_s,before_peak_kib,after_mean_s,after_std_s,after_peak_kib,speedup,mem_ratio
self_consistency,500,1,0.003955685714442682,0.0002556508847751715,341.6171875,0.004137757140727315,0.0009025815893313352,441.4619140625,0.9559975561415792,0.773831618579073
self_consistency,500,5,0.01788252856931649,0.0013468363717938742,1723.546875,0.018120485713422698,0.005411871207703262,1853.9775390625,0.9868680592855223,0.9296481962082158
self_consistency,500,9,0.030305628569164713,0.0009288587972848108,3104.359375,0.029818171431543306,0.004550726556675894,3298.5869140625,1.0163476536024523,0.9411179562271131
self_consistency,2000,1,0.016677500000306673,0.0002694860895445529,1362.953125,0.01760377142636571,0.004807473167720666,1755.8681640625,0.9473822169338252,0.7762274827322889
self_consistency,2000,5,0.09893115713826514,0.01915619548631279,6848.5625,0.08101652856982712,0.019618903699206443,7362.1650390625,1.2211231323370964,0.9302375678435073
self_consistency,2000,9,0.2303585571457266,0.01856207501943533,12323.671875,0.13933420000414895,0.01285951694897828,13092.640625,1.6532807963792608,0.94126710019584
self_consistency,8000,1,0.13078661428672994,0.014788997302000992,5452.09765625,0.11341138571567301,0.015327274451451585,7022.8251953125,1.1532053282076753,0.7763396503004364
self_consistency,8000,5,0.43646595714380965,0.048064120643043606,27299.47265625,0.40087502856996643,0.033316181132994456,29394.9814453125,1.0887831020575316,0.9287120220517553
self_consistency,8000,9,0.8277560999953754,0.08386537809471788,49183.43359375,0.7061524285714508,0.09593618510100044,52258.52734375,1.1722059806123295,0.9411561345812058
self_consistency,20000,1,0.30450464285760453,0.05492679804914475,13647.07421875,0.2907883857114939,0.03758771606265556,17580.6767578125,1.0471692055807182,0.7762542026538036
self_consistency,20000,5,1.1866476714307541,0.1531940651051539,68106.94140625,1.1786643142903424,0.09569327504552431,73261.28515625,1.0067732237615241,0.929644371662237
self_consistency,20000,9,2.345511071427609,0.24601904185137807,122523.44140625,1.8500776571433692,0.27515008174117644,130221.56640625,1.2677906045572263,0.9408844079176233
budget_forcing,2000,5,0.15964372856875084,0.012390574834809742,10103.8359375,0.14827851428500644,0.007943510809032552,10111.01171875,1.0766477485868202,0.999290300372544
budget_forcing,6000,5,0.5153360285683968,0.029976337658855136,30367.3046875,0.47158552856749986,0.02046157883632733,30369.55078125,1.0927732030577668,0.9999260412586878
budget_forcing,12000,5,1.1570663428574335,0.04711178883999203,60760.97265625,0.8146193571384563,0.08190112811911385,60770.87109375,1.4203766860167715,0.9998371187162229
budget_forcing,20000,5,2.1241510857112837,0.12155214688191102,101237.21484375,1.1002656714283927,0.13537868012603083,101217.8984375,1.9305801688365476,1.0001908398272261
budget_forcing,30000,5,4.309023357141996,0.9091563804079809,151773.8828125,2.3206286142854617,0.15333061742490753,151774.8203125,1.8568345363908112,0.999993823086082
