scenario,source,n,before_mean_s,after_mean_s,speedup,before_peak_kib,after_peak_kib,mem_ratio,identical
supervised_csv,synthetic,1000,0.026989685713488143,0.009999585713168406,2.699080390695142,1656.447265625,83.1474609375,19.921802144627275,True
meerkat_jsonl,synthetic,1000,0.01691464285665591,0.016545371428946964,1.022318714892244,3649.8310546875,69.4296875,52.568738044334424,True
supervised_csv,real,1000,0.03821169999927016,0.02054245714368465,1.8601328814755518,3902.2001953125,85.91796875,45.417742668788364,True
meerkat_jsonl,real,1000,0.020757371428771876,0.022887071428288306,0.906947465682126,4752.1494140625,76.8291015625,61.85350755659502,True
supervised_csv,synthetic,5000,0.15948465714505541,0.04568321428606786,3.4910997318700914,8208.20703125,84.9287109375,96.64819989191302,True
meerkat_jsonl,synthetic,5000,0.10511380000285239,0.07684767142719855,1.36782023515744,18242.1513671875,71.3330078125,255.73226093504005,True
supervised_csv,real,5000,0.1820852000018931,0.08649392857166406,2.105178976244875,19576.3251953125,85.87890625,227.95266090516262,True
meerkat_jsonl,real,5000,0.11973438571294537,0.10090945714078511,1.1865526691506865,23879.0712890625,80.408203125,296.9730744006413,True
supervised_csv,synthetic,10000,0.2727795857156577,0.08890318571398634,3.068276839856187,16394.666015625,85.5712890625,191.5907332382311,True
meerkat_jsonl,synthetic,10000,0.19188629999864912,0.14722118571288384,1.3033878179250153,36484.1025390625,71.3330078125,511.46171538092955,True
supervised_csv,real,10000,0.364662414286743,0.1714583428557879,2.12682805755015,39067.5693359375,107.103515625,364.76458413115233,True
meerkat_jsonl,real,10000,0.2279544571439536,0.19398057142721623,1.1751406621125702,47724.2626953125,97.4599609375,489.6807082235293,True
supervised_csv,synthetic,10178,0.28127230000141673,0.08870258571550949,3.170959422801096,16679.26171875,85.5712890625,194.91656490727533,True
meerkat_jsonl,synthetic,10178,0.19239322857070615,0.15867917142791807,1.2124668085886943,37127.0576171875,71.3330078125,520.4751454582791,True
supervised_csv,real,10178,0.362609999997533,0.18074572856962082,2.006188488475735,39748.5869140625,107.103515625,371.1230829549392,True
meerkat_jsonl,real,10178,0.2476926714277527,0.1920774285702334,1.2895459569169705,48565.3369140625,97.4599609375,498.3106544153749,True
